,0
1433,Plpp1
1434,Plpp3
1435,Plppr3
1436,Plscr1
1437,Plscr2
1438,Pltp
1439,Plvap
1440,Plxdc2
1441,Plxna2
1442,Plxnd1
1443,Pmaip1
1444,Pmp22
1445,Podn
1446,Podnl1
1447,Postn
1448,Pou2f2
1449,Pou3f1
1450,Pou3f3
1451,Ppa1
1452,Pparg
1453,Ppbp
1454,Ppfibp2
1455,Ppm1n
1456,Ppp1r14a
1457,Ppp1r15a
1458,Ppp1r1b
1459,Ppp1r3c
1460,Ppp2r2b
1461,Prc1
1462,Prcp
1463,Prdm11
1464,Prdm16
1465,Prelp
1466,Prg4
1467,Prkab2
1468,Prkcd
1469,Prkg2
1470,Prlr
1471,Prnp
1472,Procr
1473,Prr15
1474,Prr16
1475,Prrx1
1476,Prrx2
1477,Prss12
1478,Prss23
1479,Prss35
1480,Prss50
1481,Psd4
1482,Psmb8
1483,Psmb9
1484,Psrc1
1485,Ptch1
1486,Ptchd1
1487,Ptchd4
1488,Ptcra
1489,Ptger3
1490,Ptger4
1491,Ptges
1492,Ptgfr
1493,Ptgis
1494,Ptgs2
1495,Pth1r
1496,Pthlh
1497,Ptn
1498,Ptp4a3
1499,Ptpn18
1500,Ptprd
1501,Ptpre
1502,Ptprs
1503,Ptprz1
1504,Ptx3
1505,Ptx4
1506,Pxdc1
1507,Pxdn
1508,Pycard
1509,Pygl
1510,Qpct
1511,R3hdml
1512,RP23-457J22.1
1513,Rab20
1514,Rab27b
1515,Rab3il1
1516,Rac2
1517,Racgap1
1518,Rad51ap1
1519,Rad51ap2
1520,Rai14
1521,Ralgps2
1522,Ramp1
1523,Ramp2
1524,Ramp3
1525,Rap2b
1526,Rapgef3
1527,Rapgef4
1528,Raph1
1529,Rarb
1530,Rarres2
1531,Rasa4
1532,Rasd1
1533,Rasgrp2
1534,Rasl11a
1535,Rasl11b
1536,Rassf2
1537,Rbms3
1538,Rbp1
1539,Rbp4
1540,Rbpms
1541,Rcan1
1542,Rdh10
1543,Rerg
1544,Retn
1545,Retnlg
1546,Rftn1
1547,Rgcc
1548,Rgs10
1549,Rgs16
1550,Rgs2
1551,Rgs3
1552,Rgs4
1553,Rgs5
1554,Rgs7bp
1555,Rhob
1556,Rhoj
1557,Ric1
1558,Rin2
1559,Rmnd1
1560,Rnase4
1561,Rnasel
1562,Rnd1
1563,Rnd3
1564,Rnf213
1565,Robo2
1566,Rom1
1567,Rora
1568,Rpgrip1
1569,Rpl39l
1570,Rprm
1571,Rrad
1572,Rrm1
1573,Rrm2
1574,Rsad2
1575,Rspo1
1576,Rspo2
1577,Rspo3
1578,Rtn1
1579,Rtp4
1580,Runx1
1581,Runx1t1
1582,Runx2
1583,Runx3
1584,S100a1
1585,S100a16
1586,S100a4
1587,S100a6
1588,S100a8
1589,S100a9
